,x,y
0,14.18799115,0.0183465127
1,14.19150072,0.1349635623
2,14.1950103,0.501480222
3,14.19851987,0.9411641028
4,14.20202945,0.8921772949
5,14.20553902,0.4271803295
6,14.2090486,0.1033107685
7,14.21255818,0.01261985023
8,61.18822004,0.021336185759999998
9,61.19172961,0.1501186444
10,61.19523919,0.5334905797999999
11,61.19874876,0.9576198584000001
12,61.20225834,0.8682280232999999
13,61.20576791,0.39760214850000003
14,61.20927749,0.09196824818
15,61.21278706,0.0107448753
16,123.78851,0.025724824530000003
17,123.7920195,0.1710670666
18,123.7955291,0.5745855032
19,123.7990387,0.9748037425
20,123.8025483,0.8353221136
21,123.8060578,0.3615472286
22,123.8095674,0.07904062424
23,123.813077,0.008727903948
24,151.6896315,0.05076270879
25,151.6931411,0.2713735463
26,151.6966506,0.7327646328
27,151.7001602,0.9993917416
28,151.7036698,0.688464071
29,151.7071794,0.239552701
30,151.7106889,0.042101263550000004
31,158.3894102,0.04463834457
32,158.3929198,0.24913291969999998
33,158.3964294,0.7023093094
34,158.399939,1.0
35,158.4034485,0.7191936466
36,158.4069581,0.2612558064
37,158.4104677,0.047935838370000004
38,161.7866789,0.00729970029
39,161.7901884,0.06932346758999999
40,161.793698,0.3325291995
41,161.7972076,0.8056632646999999
42,161.8007172,0.9859425384
43,161.8042267,0.6094301201
44,161.8077363,0.1902700761
45,161.8112459,0.03000484129
