,x,y
0,11.35927367,0.04121736718
1,11.36278325,0.2362359009
2,11.36629282,0.6838893102
3,11.3698024,1.0
4,11.37331197,0.7385645395999999
5,11.37682155,0.27551875789999997
6,11.38033112,0.05191443816
7,14.18799115,0.01836448862
8,14.19150072,0.1350958013
9,14.1950103,0.5019715803
10,14.19851987,0.9420862701
11,14.20202945,0.8930514640999999
12,14.20553902,0.42759888729999995
13,14.2090486,0.10341199449999999
14,14.21255818,0.0126322154
15,61.18822004,0.021357091150000004
16,61.19172961,0.1502657329
17,61.19523919,0.5340133018
18,61.19874876,0.9585581492
19,61.20225834,0.8690787264000001
20,61.20576791,0.397991725
21,61.20927749,0.09205835969000001
22,61.21278706,0.01075540297
23,100.0883497,0.02323456715
24,100.0918593,0.15940068529999998
25,100.0953689,0.5523572379999999
26,100.0988785,0.9667722643000001
27,100.102388,0.8546781139
28,100.1058976,0.3816411981
29,100.1094072,0.0860760217
30,100.1129168,0.009805807848
31,156.9890898,0.03691274302
32,156.9925994,0.2192716981
33,156.9961089,0.6579048772
34,156.9996185,0.9970522085
35,157.0031281,0.7632151119
36,157.0066377,0.2950871444
37,157.0101472,0.0576272486
38,157.0136568,0.005684336184
39,159.9862669,0.005364349114
40,159.9897765,0.055196755130000004
41,159.993286,0.2868694753
42,159.9967956,0.7530596804999999
43,160.0003052,0.9985014964
44,160.0038148,0.6687169199
45,160.0073243,0.22620915170000003
46,160.0108339,0.03865024915
47,160.2880903,0.0196130206
48,160.2915999,0.14152220880000002
49,160.2951095,0.5157971929
50,160.2986191,0.9495276543000001
51,160.3021286,0.8828979915999999
52,160.3056382,0.4146557648
53,160.3091478,0.09836467314
54,160.3126574,0.0117859575
