,x,y
0,52.18966964,0.05191787335
1,52.19317922,0.2754960811
2,52.19668879,0.7383941065999999
3,52.20019837,0.9996208035999999
4,52.20370794,0.6835284842
5,52.20721752,0.23607620559999998
6,52.21072709,0.04118338881
7,100.0883497,0.02322595102
8,100.0918593,0.15934157570000002
9,100.0953689,0.5521524113
10,100.0988785,0.9664137624
11,100.102388,0.8543611792
12,100.1058976,0.3814996767
13,100.1094072,0.08604410248
14,100.1129168,0.009802171965
15,127.487602,0.01410797751
16,127.4911116,0.11194753560000001
17,127.4946212,0.4486819312
18,127.4981308,0.9083158470999999
19,127.5016403,0.9287727601000001
20,127.5051499,0.4796851955
21,127.5086595,0.1251346055
22,127.5121691,0.0164881833
23,127.7367819,0.007879232526
24,127.7402914,0.07334218224
25,127.743801,0.3448244218
26,127.7473106,0.8188728489
27,127.7508202,0.9822209519
28,127.7543297,0.5950811359
29,127.7578393,0.1821031427
30,127.7613489,0.02814705531
31,129.288014,0.018639354509999997
32,129.2915236,0.1365083946
33,129.2950332,0.5049659812
34,129.2985428,0.9434940177
35,129.3020523,0.8904108581999999
36,129.3055619,0.4244397122
37,129.3090715,0.1021917514
38,129.3125811,0.012427676470000001
39,134.0891127,0.03741301924
40,134.0926223,0.22125571600000002
41,134.0961318,0.6609072414
42,134.0996414,0.9971506773000001
43,134.103151,0.7598980570999999
44,134.1066606,0.2924988392
45,134.1101701,0.05686790452
46,134.1136797,0.005584503527
47,151.6896315,0.05079360448
48,151.6931411,0.2715387122
49,151.6966506,0.7332106138
50,151.7001602,1.0
51,151.7036698,0.6888830898
52,151.7071794,0.2396984996
53,151.7106889,0.0421268875
54,152.486305,0.005520200359
55,152.4898146,0.05638027147
56,152.4933242,0.2908531424
57,152.4968338,0.7578698405
58,152.5003433,0.9974468341
59,152.5038529,0.6630696583
60,152.5073625,0.22263980949999998
61,152.5108721,0.03775902374
62,161.7866789,0.007304143164
63,161.7901884,0.06936565976
64,161.793698,0.3327315861
65,161.7972076,0.8061536144
66,161.8007172,0.9865426114
67,161.8042267,0.6098010366
68,161.8077363,0.19038588
69,161.8112459,0.03002310313
