,x,y
0,123.78851,0.01286332915
1,123.7920195,0.08553962972
2,123.7955291,0.2873132277
3,123.7990387,0.4874366096
4,123.8025483,0.41769082490000004
5,123.8060578,0.1807864984
6,123.8095674,0.0395231289
7,125.2695506,0.04845104695
8,125.2730602,0.2631244325
9,125.2765698,0.7217610718999999
10,125.2800793,1.0
11,125.2835889,0.6998110775
12,125.2870985,0.2473636569
13,125.2906081,0.044163678789999994
14,128.6878767,0.016995335009999998
15,128.6913863,0.1278395751
16,128.6948959,0.4857079072
17,128.6984054,0.932093108
18,128.701915,0.9034782196
19,128.7054246,0.44233402299999997
20,128.7089342,0.10938487390000001
21,128.7124437,0.013662760619999999
22,130.2882429,0.0108294068
23,130.2917525,0.07585566355000001
24,130.2952621,0.268377199
25,130.2987716,0.47959813869999995
26,130.3022812,0.4328960559
27,130.3057908,0.1973622265
28,130.3093004,0.04544841174
29,130.3128099,0.005286249335000001
30,133.6890211,0.01768698172
31,133.6925307,0.10647889320000001
32,133.6960403,0.3237781978
33,133.6995499,0.4972856671
34,133.7030594,0.3857789707
35,133.706569,0.1511629732
36,133.7100786,0.029917587540000002
