,x,y
0,11.35927367,0.04121736718
1,11.36278325,0.2362359009
2,11.36629282,0.6838893102
3,11.3698024,1.0
4,11.37331197,0.7385645395999999
5,11.37682155,0.27551875789999997
6,11.38033112,0.05191443816
7,11.9874876,0.013040633880000001
8,11.99099718,0.1058086204
9,11.99450675,0.4336283563
10,11.99801633,0.8976118209999999
11,12.0015259,0.9384987959000001
12,12.00503548,0.4956249304
13,12.00854505,0.1322046817
14,12.01205463,0.01781208628
15,102.1870756,0.009752352726999999
16,102.1905852,0.08573399022
17,102.1940948,0.38068953689999996
18,102.1976043,0.8538136849
19,102.2011139,0.9672295353
20,102.2046235,0.5534396309
21,102.2081331,0.15995036210000002
22,102.2116426,0.023349332629999997
23,159.9862669,0.005364349114
24,159.9897765,0.055196755130000004
25,159.993286,0.2868694753
26,159.9967956,0.7530596804999999
27,160.0003052,0.9985014964
28,160.0038148,0.6687169199
29,160.0073243,0.22620915170000003
30,160.0108339,0.03865024915
31,169.1883726,0.02358033835
32,169.1918822,0.1610538499
33,169.1953918,0.5556054034000001
34,169.1989014,0.9681353504000001
35,169.2024109,0.8520791981999999
36,169.2059205,0.37878965979999996
37,169.2094301,0.08505317573000001
38,169.2129397,0.009646221533999999
