-19.5882,6.22E-08
-19.5863,6.04E-08
-19.5843,6.21E-08
-19.5824,6.09E-08
-19.5805,6.11E-08
-19.5786,6.23E-08
-19.5767,6.05E-08
-19.5748,5.98E-08
-19.5729,6.08E-08
-19.571,6.05E-08
-19.5691,6.00E-08
-19.5672,5.99E-08
-19.5653,6.06E-08
-19.5634,6.11E-08
-19.5615,6.08E-08
-19.5595,6.05E-08
-19.5576,6.24E-08
-19.5557,6.32E-08
-19.5538,6.20E-08
-19.5519,6.18E-08
-19.55,6.25E-08
-19.5481,6.10E-08
-19.5462,6.12E-08
-19.5443,6.18E-08
-19.5424,6.05E-08
-19.5405,6.10E-08
-19.5386,6.17E-08
-19.5367,6.16E-08
-19.5347,6.00E-08
-19.5328,6.13E-08
-19.5309,6.17E-08
-19.529,6.12E-08
-19.5271,6.17E-08
-19.5252,6.15E-08
-19.5233,6.14E-08
-19.5214,6.12E-08
-19.5195,6.08E-08
-19.5176,6.16E-08
-19.5157,6.07E-08
-19.5138,6.02E-08
-19.5119,5.98E-08
-19.5099,6.10E-08
-19.508,6.13E-08
-19.5061,6.10E-08
-19.5042,6.13E-08
-19.5023,6.18E-08
-19.5004,6.09E-08
-19.4985,6.04E-08
-19.4966,6.10E-08
-19.4947,6.07E-08
-19.4928,6.18E-08
-19.4909,6.18E-08
-19.489,6.18E-08
-19.4871,6.18E-08
-19.4852,6.20E-08
-19.4832,6.15E-08
-19.4813,6.18E-08
-19.4794,6.17E-08
-19.4775,6.15E-08
-19.4756,6.08E-08
-19.4737,6.16E-08
-19.4718,6.06E-08
-19.4699,6.04E-08
-19.468,6.03E-08
-19.4661,6.06E-08
-19.4642,6.00E-08
-19.4623,6.05E-08
-19.4604,6.00E-08
-19.4584,6.11E-08
-19.4565,6.00E-08
-19.4546,6.11E-08
-19.4527,6.01E-08
-19.4508,6.12E-08
-19.4489,6.18E-08
-19.447,6.10E-08
-19.4451,6.18E-08
-19.4432,6.05E-08
-19.4413,6.06E-08
-19.4394,6.17E-08
-19.4375,6.07E-08
-19.4356,6.04E-08
-19.4336,6.19E-08
-19.4317,6.31E-08
-19.4298,6.17E-08
-19.4279,6.10E-08
-19.426,6.29E-08
-19.4241,6.17E-08
-19.4222,6.16E-08
-19.4203,6.14E-08
-19.4184,6.14E-08
-19.4165,6.09E-08
